comp_name,stock_id,chg_stock_id
百联B股,SH900923,sh.900923
中船应急,SZ300527,sz.300527
共同药业,SZ300966,sz.300966
科大智能,SZ300222,sz.300222
德昌股份,SH605555,sh.605555
昆船智能,SZ301311,sz.301311
立华股份,SZ300761,sz.300761
古越龙山,SH600059,sh.600059
晶品特装,SH688084,sh.688084
聚力文化,SZ002247,sz.002247
邵阳液压,SZ301079,sz.301079
扬农化工,SH600486,sh.600486
东百集团,SH600693,sh.600693
通策医疗,SH600763,sh.600763
广深铁路,SH601333,sh.601333
奥尼电子,SZ301189,sz.301189
科创新源,SZ300731,sz.300731
中国船舶,SH600150,sh.600150
富瑞特装,SZ300228,sz.300228
雷赛智能,SZ002979,sz.002979
赛意信息,SZ300687,sz.300687
运达股份,SZ300772,sz.300772
泰林生物,SZ300813,sz.300813
文峰股份,SH601010,sh.601010
福田汽车,SH600166,sh.600166
诺唯赞,SH688105,sh.688105
均瑶健康,SH605388,sh.605388
开润股份,SZ300577,sz.300577
南风股份,SZ300004,sz.300004
柳化股份,SH600423,sh.600423
荣盛石化,SZ002493,sz.002493
安恒信息,SH688023,sh.688023
三利谱,SZ002876,sz.002876
阳光城,SZ000671,sz.000671
银信科技,SZ300231,sz.300231
南国置业,SZ002305,sz.002305
浙江东方,SH600120,sh.600120
昭衍新药,SH603127,sh.603127
品高股份,SH688227,sh.688227
安记食品,SH603696,sh.603696
立高食品,SZ300973,sz.300973
海容冷链,SH603187,sh.603187
青岛啤酒,SH600600,sh.600600
菲菱科思,SZ301191,sz.301191
江苏雷利,SZ300660,sz.300660
雪人股份,SZ002639,sz.002639
思源电气,SZ002028,sz.002028
鸥玛软件,SZ301185,sz.301185
国光电气,SH688776,sh.688776
晶澳科技,SZ002459,sz.002459
荣晟环保,SH603165,sh.603165
海新能科,SZ300072,sz.300072
格尔软件,SH603232,sh.603232
和顺石油,SH603353,sh.603353
皮阿诺,SZ002853,sz.002853
振华重工,SH600320,sh.600320
东晶电子,SZ002199,sz.002199
舍得酒业,SH600702,sh.600702
美凯龙,SH601828,sh.601828
金运激光,SZ300220,sz.300220
誉衡药业,SZ002437,sz.002437
西王食品,SZ000639,sz.000639
亿田智能,SZ300911,sz.300911
农尚环境,SZ300536,sz.300536
航宇科技,SH688239,sh.688239
顺网科技,SZ300113,sz.300113
菜百股份,SH605599,sh.605599
东方智造,SZ002175,sz.002175
霍普股份,SZ301024,sz.301024
南宁百货,SH600712,sh.600712
巨化股份,SH600160,sh.600160
天味食品,SH603317,sh.603317
柯利达,SH603828,sh.603828
五粮液,SZ000858,sz.000858
真爱美家,SZ003041,sz.003041
飞龙股份,SZ002536,sz.002536
珠江钢琴,SZ002678,sz.002678
山西路桥,SZ000755,sz.000755
数码视讯,SZ300079,sz.300079
华大智造,SH688114,sh.688114
天保基建,SZ000965,sz.000965
华铁股份,SZ000976,sz.000976
证通电子,SZ002197,sz.002197
智度股份,SZ000676,sz.000676
诚志股份,SZ000990,sz.000990
晨光生物,SZ300138,sz.300138
白云电器,SH603861,sh.603861
红旗连锁,SZ002697,sz.002697
航锦科技,SZ000818,sz.000818
妙可蓝多,SH600882,sh.600882
爱丽家居,SH603221,sh.603221
奕东电子,SZ301123,sz.301123
乐心医疗,SZ300562,sz.300562
西宁特钢,SH600117,sh.600117
保龄宝,SZ002286,sz.002286
上实发展,SH600748,sh.600748
实益达,SZ002137,sz.002137
汉邦高科,SZ300449,sz.300449
凯撒文化,SZ002425,sz.002425
真兰仪表,SZ301303,sz.301303
海通发展,SH603162,sh.603162
郑中设计,SZ002811,sz.002811
中青宝,SZ300052,sz.300052
旗天科技,SZ300061,sz.300061
润泽科技,SZ300442,sz.300442
奥特维,SH688516,sh.688516
联合水务,SH603291,sh.603291
北信源,SZ300352,sz.300352
世联行,SZ002285,sz.002285
英派斯,SZ002899,sz.002899
永顺泰,SZ001338,sz.001338
山西汾酒,SH600809,sh.600809
厚普股份,SZ300471,sz.300471
盛和资源,SH600392,sh.600392
安硕信息,SZ300380,sz.300380
亿道信息,SZ001314,sz.001314
潮宏基,SZ002345,sz.002345
协创数据,SZ300857,sz.300857
深赛格,SZ000058,sz.000058
新诺威,SZ300765,sz.300765
昆药集团,SH600422,sh.600422
东软载波,SZ300183,sz.300183
五方光电,SZ002962,sz.002962
天康生物,SZ002100,sz.002100
唐德影视,SZ300426,sz.300426
长源东谷,SH603950,sh.603950
陕西金叶,SZ000812,sz.000812
神州数码,SZ000034,sz.000034
炬华科技,SZ300360,sz.300360
中衡设计,SH603017,sh.603017
亿利洁能,SH600277,sh.600277
三友化工,SH600409,sh.600409
小崧股份,SZ002723,sz.002723
爱玛科技,SH603529,sh.603529
皖通科技,SZ002331,sz.002331
格灵深瞳-U,SH688207,sh.688207
海欣食品,SZ002702,sz.002702
稳健医疗,SZ300888,sz.300888
弘宇股份,SZ002890,sz.002890
双塔食品,SZ002481,sz.002481
新城控股,SH601155,sh.601155
东方明珠,SH600637,sh.600637
京东方B,SZ200725,sz.200725
巨人网络,SZ002558,sz.002558
康华生物,SZ300841,sz.300841
华峰超纤,SZ300180,sz.300180
至正股份,SH603991,sh.603991
润禾材料,SZ300727,sz.300727
鱼跃医疗,SZ002223,sz.002223
锋尚文化,SZ300860,sz.300860
友阿股份,SZ002277,sz.002277
海康威视,SZ002415,sz.002415
华绿生物,SZ300970,sz.300970
大参林,SH603233,sh.603233
华闻集团,SZ000793,sz.000793
春秋航空,SH601021,sh.601021
新宏泽,SZ002836,sz.002836
内蒙一机,SH600967,sh.600967
美克家居,SH600337,sh.600337
国光连锁,SH605188,sh.605188
海澜之家,SH600398,sh.600398
利仁科技,SZ001259,sz.001259
百大集团,SH600865,sh.600865
今天国际,SZ300532,sz.300532
招商蛇口,SZ001979,sz.001979
科美诊断,SH688468,sh.688468
荣联科技,SZ002642,sz.002642
翠微股份,SH603123,sh.603123
浦东金桥,SH600639,sh.600639
天地数码,SZ300743,sz.300743
中路B股,SH900915,sh.900915
中百集团,SZ000759,sz.000759
亚星锚链,SH601890,sh.601890
张裕B,SZ200869,sz.200869
新世界,SH600628,sh.600628
安奈儿,SZ002875,sz.002875
华脉科技,SH603042,sh.603042
海南高速,SZ000886,sz.000886
捷成股份,SZ300182,sz.300182
国统股份,SZ002205,sz.002205
康普顿,SH603798,sh.603798
晶丰明源,SH688368,sh.688368
凯文教育,SZ002659,sz.002659
通化东宝,SH600867,sh.600867
永辉超市,SH601933,sh.601933
奥拓电子,SZ002587,sz.002587
永清环保,SZ300187,sz.300187
鼎通科技,SH688668,sh.688668
茂化实华,SZ000637,sz.000637
我武生物,SZ300357,sz.300357
石头科技,SH688169,sh.688169
中谷物流,SH603565,sh.603565
恒立液压,SH601100,sh.601100
科蓝软件,SZ300663,sz.300663
卓然股份,SH688121,sh.688121
华西能源,SZ002630,sz.002630
金枫酒业,SH600616,sh.600616
思特奇,SZ300608,sz.300608
视觉中国,SZ000681,sz.000681
中南建设,SZ000961,sz.000961
安通控股,SH600179,sh.600179
三峡水利,SH600116,sh.600116
TCL中环,SZ002129,sz.002129
凌云光,SH688400,sh.688400
康斯特,SZ300445,sz.300445
长江通信,SH600345,sh.600345
申科股份,SZ002633,sz.002633
特发服务,SZ300917,sz.300917
香江控股,SH600162,sh.600162
华森制药,SZ002907,sz.002907
金利华电,SZ300069,sz.300069
三旺通信,SH688618,sh.688618
软控股份,SZ002073,sz.002073
九阳股份,SZ002242,sz.002242
良品铺子,SH603719,sh.603719
海融科技,SZ300915,sz.300915
东方精工,SZ002611,sz.002611
元祖股份,SH603886,sh.603886
虹软科技,SH688088,sh.688088
任子行,SZ300311,sz.300311
华旺科技,SH605377,sh.605377
海兰信,SZ300065,sz.300065
泰恩康,SZ301263,sz.301263
航天科技,SZ000901,sz.000901
北鼎股份,SZ300824,sz.300824
东诚药业,SZ002675,sz.002675
华创阳安,SH600155,sh.600155
康辰药业,SH603590,sh.603590
报喜鸟,SZ002154,sz.002154
科达利,SZ002850,sz.002850
金陵体育,SZ300651,sz.300651
上海机场,SH600009,sh.600009
广百股份,SZ002187,sz.002187
司太立,SH603520,sh.603520
怡亚通,SZ002183,sz.002183
扬子新材,SZ002652,sz.002652
华恒生物,SH688639,sh.688639
云赛B股,SH900901,sh.900901
鼎捷软件,SZ300378,sz.300378
亚振家居,SH603389,sh.603389
新动力,SZ300152,sz.300152
声迅股份,SZ003004,sz.003004
八方股份,SH603489,sh.603489
申通快递,SZ002468,sz.002468
恒宝股份,SZ002104,sz.002104
学大教育,SZ000526,sz.000526
普邦股份,SZ002663,sz.002663
新强联,SZ300850,sz.300850
东信和平,SZ002017,sz.002017
GQY视讯,SZ300076,sz.300076
棒杰股份,SZ002634,sz.002634
优利德,SH688628,sh.688628
网达软件,SH603189,sh.603189
贵人鸟,SH603555,sh.603555
中广天择,SH603721,sh.603721
鑫科材料,SH600255,sh.600255
凡拓数创,SZ301313,sz.301313
奥普家居,SH603551,sh.603551
综艺股份,SH600770,sh.600770
金时科技,SZ002951,sz.002951
浪潮信息,SZ000977,sz.000977
久祺股份,SZ300994,sz.300994
湘佳股份,SZ002982,sz.002982
通达海,SZ301378,sz.301378
和元生物,SH688238,sh.688238
荣盛发展,SZ002146,sz.002146
