comp_name,stock_id,chg_stock_id
大丰实业,SH603081,sh.603081
立霸股份,SH603519,sh.603519
腾达建设,SH600512,sh.600512
中国移动,SH600941,sh.600941
凯格精机,SZ301338,sz.301338
高测股份,SH688556,sh.688556
南化股份,SH600301,sh.600301
腾远钴业,SZ301219,sz.301219
天秦装备,SZ300922,sz.300922
中铁工业,SH600528,sh.600528
漫步者,SZ002351,sz.002351
东岳硅材,SZ300821,sz.300821
双乐股份,SZ301036,sz.301036
联得装备,SZ300545,sz.300545
纳微科技,SH688690,sh.688690
裕太微-U,SH688515,sh.688515
绿通科技,SZ301322,sz.301322
骄成超声,SH688392,sh.688392
尚太科技,SZ001301,sz.001301
金钼股份,SH601958,sh.601958
力合科技,SZ300800,sz.300800
江苏国信,SZ002608,sz.002608
飞鹿股份,SZ300665,sz.300665
江特电机,SZ002176,sz.002176
闻泰科技,SH600745,sh.600745
文一科技,SH600520,sh.600520
先导智能,SZ300450,sz.300450
锡业股份,SZ000960,sz.000960
高澜股份,SZ300499,sz.300499
长光华芯,SH688048,sh.688048
隆达股份,SH688231,sh.688231
西部黄金,SH601069,sh.601069
华光新材,SH688379,sh.688379
康达新材,SZ002669,sz.002669
易成新能,SZ300080,sz.300080
上海贝岭,SH600171,sh.600171
天地源,SH600665,sh.600665
新城市,SZ300778,sz.300778
瑞鹄模具,SZ002997,sz.002997
建龙微纳,SH688357,sh.688357
中威电子,SZ300270,sz.300270
一彬科技,SZ001278,sz.001278
中国海诚,SZ002116,sz.002116
乐通股份,SZ002319,sz.002319
旭光电子,SH600353,sh.600353
龙磁科技,SZ300835,sz.300835
宏创控股,SZ002379,sz.002379
建科院,SZ300675,sz.300675
创新医疗,SZ002173,sz.002173
明新旭腾,SH605068,sh.605068
伊之密,SZ300415,sz.300415
纬德信息,SH688171,sh.688171
淮北矿业,SH600985,sh.600985
中颖电子,SZ300327,sz.300327
奕瑞科技,SH688301,sh.688301
隆华科技,SZ300263,sz.300263
三变科技,SZ002112,sz.002112
格科微,SH688728,sh.688728
普门科技,SH688389,sh.688389
中科金财,SZ002657,sz.002657
昱能科技,SH688348,sh.688348
百济神州-U,SH688235,sh.688235
捷捷微电,SZ300623,sz.300623
上海电气,SH601727,sh.601727
泰祥股份,SZ301192,sz.301192
芯朋微,SH688508,sh.688508
铭利达,SZ301268,sz.301268
博威合金,SH601137,sh.601137
明微电子,SH688699,sh.688699
万润科技,SZ002654,sz.002654
有研新材,SH600206,sh.600206
韦尔股份,SH603501,sh.603501
磁谷科技,SH688448,sh.688448
长安汽车,SZ000625,sz.000625
中国软件,SH600536,sh.600536
思美传媒,SZ002712,sz.002712
晶晨股份,SH688099,sh.688099
和林微纳,SH688661,sh.688661
侨源股份,SZ301286,sz.301286
西部建设,SZ002302,sz.002302
振华风光,SH688439,sh.688439
华钰矿业,SH601020,sh.601020
恒铭达,SZ002947,sz.002947
首药控股-U,SH688197,sh.688197
晶盛机电,SZ300316,sz.300316
亚太股份,SZ002284,sz.002284
雅创电子,SZ301099,sz.301099
润建股份,SZ002929,sz.002929
藏格矿业,SZ000408,sz.000408
大族数控,SZ301200,sz.301200
炬芯科技,SH688049,sh.688049
科德数控,SH688305,sh.688305
凯美特气,SZ002549,sz.002549
诚意药业,SH603811,sh.603811
理工光科,SZ300557,sz.300557
保隆科技,SH603197,sh.603197
德业股份,SH605117,sh.605117
信达证券,SH601059,sh.601059
精准信息,SZ300099,sz.300099
寒锐钴业,SZ300618,sz.300618
C常青,SH603125,sh.603125
长盈通,SH688143,sh.688143
中密控股,SZ300470,sz.300470
菲沃泰,SH688371,sh.688371
中国铁建,SH601186,sh.601186
新洁能,SH605111,sh.605111
立中集团,SZ300428,sz.300428
山大地纬,SH688579,sh.688579
华电重工,SH601226,sh.601226
芳源股份,SH688148,sh.688148
南纺股份,SH600250,sh.600250
新朋股份,SZ002328,sz.002328
当升科技,SZ300073,sz.300073
芯导科技,SH688230,sh.688230
德龙激光,SH688170,sh.688170
金诚信,SH603979,sh.603979
祥生医疗,SH688358,sh.688358
品茗科技,SH688109,sh.688109
宁科生物,SH600165,sh.600165
云海金属,SZ002182,sz.002182
圣济堂,SH600227,sh.600227
通宝能源,SH600780,sh.600780
金晶科技,SH600586,sh.600586
东富龙,SZ300171,sz.300171
中伟股份,SZ300919,sz.300919
中成股份,SZ000151,sz.000151
三安光电,SH600703,sh.600703
瑞丰银行,SH601528,sh.601528
露笑科技,SZ002617,sz.002617
华微电子,SH600360,sh.600360
胜华新材,SH603026,sh.603026
星环科技-U,SH688031,sh.688031
中国铝业,SH601600,sh.601600
逸豪新材,SZ301176,sz.301176
密尔克卫,SH603713,sh.603713
芯海科技,SH688595,sh.688595
金银河,SZ300619,sz.300619
中际旭创,SZ300308,sz.300308
铜陵有色,SZ000630,sz.000630
台基股份,SZ300046,sz.300046
睿智医药,SZ300149,sz.300149
甬金股份,SH603995,sh.603995
华宝新能,SZ301327,sz.301327
德新科技,SH603032,sh.603032
怡球资源,SH601388,sh.601388
康力电梯,SZ002367,sz.002367
重庆建工,SH600939,sh.600939
绿色动力,SH601330,sh.601330
瑞联新材,SH688550,sh.688550
信测标准,SZ300938,sz.300938
千方科技,SZ002373,sz.002373
华电国际,SH600027,sh.600027
纳睿雷达,SH688522,sh.688522
通源环境,SH688679,sh.688679
东华软件,SZ002065,sz.002065
同和药业,SZ300636,sz.300636
公元股份,SZ002641,sz.002641
深城交,SZ301091,sz.301091
紫光国微,SZ002049,sz.002049
天马科技,SH603668,sh.603668
工大科雅,SZ301197,sz.301197
神州泰岳,SZ300002,sz.300002
新凤鸣,SH603225,sh.603225
苏大维格,SZ300331,sz.300331
吴通控股,SZ300292,sz.300292
广州发展,SH600098,sh.600098
恒帅股份,SZ300969,sz.300969
DR旭升集,SH603305,sh.603305
怡达股份,SZ300721,sz.300721
大为股份,SZ002213,sz.002213
瑞泰新材,SZ301238,sz.301238
天山电子,SZ301379,sz.301379
泽宇智能,SZ301179,sz.301179
浩洋股份,SZ300833,sz.300833
宝钢包装,SH601968,sh.601968
大千生态,SH603955,sh.603955
新锐股份,SH688257,sh.688257
云南铜业,SZ000878,sz.000878
未名医药,SZ002581,sz.002581
中富电路,SZ300814,sz.300814
思科瑞,SH688053,sh.688053
峰岹科技,SH688279,sh.688279
中晟高科,SZ002778,sz.002778
大宏立,SZ300865,sz.300865
博彦科技,SZ002649,sz.002649
中国西电,SH601179,sh.601179
新兴铸管,SZ000778,sz.000778
益生股份,SZ002458,sz.002458
中复神鹰,SH688295,sh.688295
神火股份,SZ000933,sz.000933
长沙银行,SH601577,sh.601577
京新药业,SZ002020,sz.002020
龙建股份,SH600853,sh.600853
硕世生物,SH688399,sh.688399
崇达技术,SZ002815,sz.002815
南威软件,SH603636,sh.603636
天力锂能,SZ301152,sz.301152
盘龙药业,SZ002864,sz.002864
拉卡拉,SZ300773,sz.300773
英飞特,SZ300582,sz.300582
南方路机,SH603280,sh.603280
华润微,SH688396,sh.688396
永太科技,SZ002326,sz.002326
盈方微,SZ000670,sz.000670
秀强股份,SZ300160,sz.300160
索通发展,SH603612,sh.603612
中熔电气,SZ301031,sz.301031
银邦股份,SZ300337,sz.300337
金冠电气,SH688517,sh.688517
新澳股份,SH603889,sh.603889
未来电器,SZ301386,sz.301386
中信银行,SH601998,sh.601998
福能股份,SH600483,sh.600483
空港股份,SH600463,sh.600463
亚世光电,SZ002952,sz.002952
赛力斯,SH601127,sh.601127
永安行,SH603776,sh.603776
方邦股份,SH688020,sh.688020
广生堂,SZ300436,sz.300436
国缆检测,SZ301289,sz.301289
嘉元科技,SH688388,sh.688388
上海电力,SH600021,sh.600021
中集集团,SZ000039,sz.000039
瑞丰高材,SZ300243,sz.300243
振华股份,SH603067,sh.603067
罗平锌电,SZ002114,sz.002114
赛微电子,SZ300456,sz.300456
建设机械,SH600984,sh.600984
瑞芯微,SH603893,sh.603893
爱威科技,SH688067,sh.688067
三羊马,SZ001317,sz.001317
鑫铂股份,SZ003038,sz.003038
艾为电子,SH688798,sh.688798
皇庭国际,SZ000056,sz.000056
濮耐股份,SZ002225,sz.002225
欧克科技,SZ001223,sz.001223
安徽建工,SH600502,sh.600502
久日新材,SH688199,sh.688199
利柏特,SH605167,sh.605167
华秦科技,SH688281,sh.688281
派瑞股份,SZ300831,sz.300831
中材节能,SH603126,sh.603126
创源股份,SZ300703,sz.300703
冠石科技,SH605588,sh.605588
大恒科技,SH600288,sh.600288
合金投资,SZ000633,sz.000633
汇金科技,SZ300561,sz.300561
利元亨,SH688499,sh.688499
中国卫星,SH600118,sh.600118
建车B,SZ200054,sz.200054
国轩高科,SZ002074,sz.002074
航天电器,SZ002025,sz.002025
芯瑞达,SZ002983,sz.002983
奇德新材,SZ300995,sz.300995
宁德时代,SZ300750,sz.300750
云鼎科技,SZ000409,sz.000409
经纬恒润-W,SH688326,sh.688326
上海凯鑫,SZ300899,sz.300899
工业富联,SH601138,sh.601138
芭田股份,SZ002170,sz.002170
中国电研,SH688128,sh.688128
正业科技,SZ300410,sz.300410
新通联,SH603022,sh.603022
博通集成,SH603068,sh.603068
唯赛勃,SH688718,sh.688718
中国化学,SH601117,sh.601117
杰普特,SH688025,sh.688025
星源材质,SZ300568,sz.300568
信息发展,SZ300469,sz.300469
泽璟制药-U,SH688266,sh.688266
盛洋科技,SH603703,sh.603703
信德新材,SZ301349,sz.301349
南京公用,SZ000421,sz.000421
苏试试验,SZ300416,sz.300416
元力股份,SZ300174,sz.300174
恒玄科技,SH688608,sh.688608
招商南油,SH601975,sh.601975
德马科技,SH688360,sh.688360
华峰铝业,SH601702,sh.601702
联测科技,SH688113,sh.688113
阿莱德,SZ301419,sz.301419
京能电力,SH600578,sh.600578
九号公司-WD,SH689009,sh.689009
闽发铝业,SZ002578,sz.002578
金岭矿业,SZ000655,sz.000655
博汇科技,SH688004,sh.688004
豪鹏科技,SZ001283,sz.001283
塞力医疗,SH603716,sh.603716
康龙化成,SZ300759,sz.300759
东方钽业,SZ000962,sz.000962
太阳电缆,SZ002300,sz.002300
驰宏锌锗,SH600497,sh.600497
杭氧股份,SZ002430,sz.002430
中储股份,SH600787,sh.600787
江苏吴中,SH600200,sh.600200
蓝英装备,SZ300293,sz.300293
云中马,SH603130,sh.603130
芯原股份,SH688521,sh.688521
中设股份,SZ002883,sz.002883
金鹰重工,SZ301048,sz.301048
科伦药业,SZ002422,sz.002422
蓝海华腾,SZ300484,sz.300484
龙元建设,SH600491,sh.600491
罗曼股份,SH605289,sh.605289
宏景科技,SZ301396,sz.301396
天微电子,SH688511,sh.688511
招商轮船,SH601872,sh.601872
万通智控,SZ300643,sz.300643
泰晶科技,SH603738,sh.603738
中国通号,SH688009,sh.688009
深南电A,SZ000037,sz.000037
安纳达,SZ002136,sz.002136
孚能科技,SH688567,sh.688567
万顺新材,SZ300057,sz.300057
中色股份,SZ000758,sz.000758
上海建工,SH600170,sh.600170
怡合达,SZ301029,sz.301029
金贵银业,SZ002716,sz.002716
晋西车轴,SH600495,sh.600495
美迪凯,SH688079,sh.688079
安必平,SH688393,sh.688393
苏文电能,SZ300982,sz.300982
中控技术,SH688777,sh.688777
八亿时空,SH688181,sh.688181
康弘药业,SZ002773,sz.002773
深科技,SZ000021,sz.000021
吉翔股份,SH603399,sh.603399
强力新材,SZ300429,sz.300429
华阳股份,SH600348,sh.600348
徕木股份,SH603633,sh.603633
三晖电气,SZ002857,sz.002857
西部创业,SZ000557,sz.000557
银河电子,SZ002519,sz.002519
复旦张江,SH688505,sh.688505
英搏尔,SZ300681,sz.300681
华锋股份,SZ002806,sz.002806
财富趋势,SH688318,sh.688318
恒而达,SZ300946,sz.300946
宇环数控,SZ002903,sz.002903
睿昂基因,SH688217,sh.688217
中润光学,SH688307,sh.688307
金博股份,SH688598,sh.688598
中材国际,SH600970,sh.600970
金固股份,SZ002488,sz.002488
满坤科技,SZ301132,sz.301132
江瀚新材,SH603281,sh.603281
普元信息,SH688118,sh.688118
中英科技,SZ300936,sz.300936
天赐材料,SZ002709,sz.002709
莱特光电,SH688150,sh.688150
思维列控,SH603508,sh.603508
金山办公,SH688111,sh.688111
航民股份,SH600987,sh.600987
宁波方正,SZ300998,sz.300998
黑猫股份,SZ002068,sz.002068
亚士创能,SH603378,sh.603378
五矿发展,SH600058,sh.600058
铁龙物流,SH600125,sh.600125
百普赛斯,SZ301080,sz.301080
盐湖股份,SZ000792,sz.000792
联盛化学,SZ301212,sz.301212
金百泽,SZ301041,sz.301041
长安B,SZ200625,sz.200625
翔鹭钨业,SZ002842,sz.002842
宇瞳光学,SZ300790,sz.300790
温州宏丰,SZ300283,sz.300283
中创环保,SZ300056,sz.300056
紫江企业,SH600210,sh.600210
江苏神通,SZ002438,sz.002438
精艺股份,SZ002295,sz.002295
容知日新,SH688768,sh.688768
斯迪克,SZ300806,sz.300806
浙农股份,SZ002758,sz.002758
西藏珠峰,SH600338,sh.600338
和胜股份,SZ002824,sz.002824
田中精机,SZ300461,sz.300461
阳光电源,SZ300274,sz.300274
设研院,SZ300732,sz.300732
先惠技术,SH688155,sh.688155
圣晖集成,SH603163,sh.603163
科安达,SZ002972,sz.002972
万马股份,SZ002276,sz.002276
瑞松科技,SH688090,sh.688090
亚钾国际,SZ000893,sz.000893
电工合金,SZ300697,sz.300697
德明利,SZ001309,sz.001309
中远海发,SH601866,sh.601866
新联电子,SZ002546,sz.002546
万丰奥威,SZ002085,sz.002085
杭钢股份,SH600126,sh.600126
国民技术,SZ300077,sz.300077
沪光股份,SH605333,sh.605333
宏发股份,SH600885,sh.600885
国能日新,SZ301162,sz.301162
开尔新材,SZ300234,sz.300234
银之杰,SZ300085,sz.300085
兴发集团,SH600141,sh.600141
秦川物联,SH688528,sh.688528
中国交建,SH601800,sh.601800
博俊科技,SZ300926,sz.300926
铖昌科技,SZ001270,sz.001270
开山股份,SZ300257,sz.300257
海洋王,SZ002724,sz.002724
越剑智能,SH603095,sh.603095
东华科技,SZ002140,sz.002140
迈威生物-U,SH688062,sh.688062
长阳科技,SH688299,sh.688299
纽威股份,SH603699,sh.603699
天铁股份,SZ300587,sz.300587
安泰集团,SH600408,sh.600408
湖南黄金,SZ002155,sz.002155
嵘泰股份,SH605133,sh.605133
伟创电气,SH688698,sh.688698
蓝晓科技,SZ300487,sz.300487
明冠新材,SH688560,sh.688560
华瑞股份,SZ300626,sz.300626
复旦微电,SH688385,sh.688385
鼎汉技术,SZ300011,sz.300011
格林美,SZ002340,sz.002340
法拉电子,SH600563,sh.600563
中钢洛耐,SH688119,sh.688119
良信股份,SZ002706,sz.002706
科沃斯,SH603486,sh.603486
贵州三力,SH603439,sh.603439
中信特钢,SZ000708,sz.000708
嘉华股份,SH603182,sh.603182
超卓航科,SH688237,sh.688237
永贵电器,SZ300351,sz.300351
万润新能,SH688275,sh.688275
法兰泰克,SH603966,sh.603966
汉得信息,SZ300170,sz.300170
德恩精工,SZ300780,sz.300780
瀚川智能,SH688022,sh.688022
广汽集团,SH601238,sh.601238
苑东生物,SH688513,sh.688513
江海股份,SZ002484,sz.002484
宜安科技,SZ300328,sz.300328
力盛体育,SZ002858,sz.002858
龙迅股份,SH688486,sh.688486
好上好,SZ001298,sz.001298
中银绒业,SZ000982,sz.000982
希荻微,SH688173,sh.688173
苏州固锝,SZ002079,sz.002079
合盛硅业,SH603260,sh.603260
力芯微,SH688601,sh.688601
欣旺达,SZ300207,sz.300207
龙源技术,SZ300105,sz.300105
永吉股份,SH603058,sh.603058
江淮汽车,SH600418,sh.600418
仙琚制药,SZ002332,sz.002332
国风新材,SZ000859,sz.000859
莱尔科技,SH688683,sh.688683
征和工业,SZ003033,sz.003033
东威科技,SH688700,sh.688700
派能科技,SH688063,sh.688063
美亚柏科,SZ300188,sz.300188
红星发展,SH600367,sh.600367
科达制造,SH600499,sh.600499
赢合科技,SZ300457,sz.300457
捷安高科,SZ300845,sz.300845
梅雁吉祥,SH600868,sh.600868
中孚信息,SZ300659,sz.300659
中科电气,SZ300035,sz.300035
内蒙华电,SH600863,sh.600863
国博电子,SH688375,sh.688375
豪能股份,SH603809,sh.603809
德科立,SH688205,sh.688205
禾信仪器,SH688622,sh.688622
爱司凯,SZ300521,sz.300521
天奥电子,SZ002935,sz.002935
中信博,SH688408,sh.688408
中国石油,SH601857,sh.601857
世纪鼎利,SZ300050,sz.300050
天津港,SH600717,sh.600717
中汽股份,SZ301215,sz.301215
横河精密,SZ300539,sz.300539
中自科技,SH688737,sh.688737
华阳集团,SZ002906,sz.002906
瑞泰科技,SZ002066,sz.002066
翔丰华,SZ300890,sz.300890
